id,slug,name,categories,subtype,parentSlug,isPrime,isUmbra,isWraith,isDex
"/Lotus/Weapons/Tenno/LongGuns/SapientPrimary/SapientPrimaryWeapon","acceltra","Acceltra","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/PrimeAcceltra/PrimeAcceltraWeapon","acceltra-prime","Acceltra Prime","weapon","primary","","true","false","false","false"
"6468","acceltra-prime-barrel","Acceltra Prime Barrel","weapon|part","","acceltra-prime","","","",""
"6469","acceltra-prime-receiver","Acceltra Prime Receiver","weapon|part","","acceltra-prime","","","",""
"6470","acceltra-prime-stock","Acceltra Prime Stock","weapon|part","","acceltra-prime","","","",""
"/Lotus/Weapons/Grineer/Melee/GrineerTylAxeAndBoar/RegorAxeShield","ack-brunt","Ack & Brunt","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/ClanTech/Bio/AcidDartPistol","acrid","Acrid","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Grineer/ThrowingWeapons/GrnVorStickyBomb/GrnVorStickyBomb","aegrit","Aegrit","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/TnRifleErsatz/TnRifleErsatzWeapon","aeolak","Aeolak","weapon","primary","","false","false","false","false"
"5817","aeolak-barrel","Aeolak Barrel","weapon|part","","aeolak","","","",""
"5819","aeolak-receiver","Aeolak Receiver","weapon|part","","aeolak","","","",""
"5821","aeolak-stock","Aeolak Stock","weapon|part","","aeolak","","","",""
"/Lotus/Weapons/Tenno/LongGuns/TnHopliteSpear/TnHopliteSpearGunWeapon","afentis","Afentis","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Akimbo/AkimboAutoPistols","afuris","Afuris","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeAfuris/PrimeAFurisWeapon","afuris-prime","Afuris Prime","weapon","secondary","","true","false","false","false"
"6039","afuris-prime-barrel","Afuris Prime Barrel","weapon|part","","afuris-prime","","","",""
"6040","afuris-prime-link","Afuris Prime Link","weapon|part","","afuris-prime","","","",""
"6041","afuris-prime-receiver","Afuris Prime Receiver","weapon|part","","afuris-prime","","","",""
"/Lotus/Weapons/Tenno/Archwing/Melee/ArchSwordHook/ArchHookSwordWeapon","agkuza","Agkuza","weapon","archmelee","","false","false","false","false"
"3792","agkuza-blade","Agkuza Blade","weapon|part","","agkuza","","","",""
"3794","agkuza-guard","Agkuza Guard","weapon|part","","agkuza","","","",""
"3793","agkuza-handle","Agkuza Handle","weapon|part","","agkuza","","","",""
"/Lotus/Weapons/Tenno/Pistols/SapientPistol/SapientPistol","akarius","Akarius","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeAkarius/PrimeAkariusWeapon","akarius-prime","Akarius Prime","weapon","secondary","","true","false","false","false"
"6471","akarius-prime-barrel","Akarius Prime Barrel","weapon|part","","akarius-prime","","","",""
"6472","akarius-prime-link","Akarius Prime Link","weapon|part","","akarius-prime","","","",""
"6473","akarius-prime-receiver","Akarius Prime Receiver","weapon|part","","akarius-prime","","","",""
"/Lotus/Weapons/Tenno/Akimbo/AkimboBolto","akbolto","Akbolto","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeAkbolto/PrimeAkBoltoWeapon","akbolto-prime","Akbolto Prime","weapon","secondary","","true","false","false","false"
"4070","akbolto-prime-barrel","Akbolto Prime Barrel","weapon|part","","akbolto-prime","","","",""
"4072","akbolto-prime-link","Akbolto Prime Link","weapon|part","","akbolto-prime","","","",""
"4071","akbolto-prime-receiver","Akbolto Prime Receiver","weapon|part","","akbolto-prime","","","",""
"/Lotus/Weapons/Tenno/Akimbo/AkimboShotGun","akbronco","Akbronco","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Akimbo/PrimeAkimboShotGun","akbronco-prime","Akbronco Prime","weapon","secondary","","true","false","false","false"
"3784","akbronco-prime-link","Akbronco Prime Link","weapon|part","","akbronco-prime","","","",""
"/Lotus/Weapons/Tenno/Pistols/TigrisRedeemerSetPistol/TnoBladedPistols","akjagara","Akjagara","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeAkjagara/AkJagaraPrime","akjagara-prime","Akjagara Prime","weapon","secondary","","true","false","false","false"
"4074","akjagara-prime-barrel","Akjagara Prime Barrel","weapon|part","","akjagara-prime","","","",""
"4076","akjagara-prime-link","Akjagara Prime Link","weapon|part","","akjagara-prime","","","",""
"4075","akjagara-prime-receiver","Akjagara Prime Receiver","weapon|part","","akjagara-prime","","","",""
"/Lotus/Weapons/Tenno/Akimbo/AkimboPistol","aklato","Aklato","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Akimbo/AkLexPistols","aklex","Aklex","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Akimbo/AkLexPrimePistols","aklex-prime","Aklex Prime","weapon","secondary","","true","false","false","false"
"3768","aklex-prime-link","Aklex Prime Link","weapon|part","","aklex-prime","","","",""
"/Lotus/Weapons/Tenno/Akimbo/DualMagnus","akmagnus","Akmagnus","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Akimbo/DualMagnusPrime","akmagnus-prime","Akmagnus Prime","weapon","secondary","","true","false","false","false"
"6612","akmagnus-prime-link","Akmagnus Prime Link","weapon|part","","akmagnus-prime","","","",""
"/Lotus/Weapons/Tenno/Pistols/SomaSidearm/AkimboSomaPistols","aksomati","Aksomati","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeAksomati/PrimeAksomati","aksomati-prime","Aksomati Prime","weapon","secondary","","true","false","false","false"
"4238","aksomati-prime-barrel","Aksomati Prime Barrel","weapon|part","","aksomati-prime","","","",""
"4237","aksomati-prime-link","Aksomati Prime Link","weapon|part","","aksomati-prime","","","",""
"4239","aksomati-prime-receiver","Aksomati Prime Receiver","weapon|part","","aksomati-prime","","","",""
"/Lotus/Weapons/Tenno/Pistols/TennoUzi/TennoUzi","akstiletto","Akstiletto","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeAkstiletto/PrimeAkstiletto","akstiletto-prime","Akstiletto Prime","weapon","secondary","","true","false","false","false"
"4078","akstiletto-prime-barrel","Akstiletto Prime Barrel","weapon|part","","akstiletto-prime","","","",""
"4080","akstiletto-prime-link","Akstiletto Prime Link","weapon|part","","akstiletto-prime","","","",""
"4079","akstiletto-prime-receiver","Akstiletto Prime Receiver","weapon|part","","akstiletto-prime","","","",""
"/Lotus/Weapons/Tenno/Akimbo/DualVastos","akvasto","Akvasto","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeVasto/AkPrimeVasto/AkPrimeVastoPistol","akvasto-prime","Akvasto Prime","weapon","secondary","","true","false","false","false"
"4096","akvasto-prime-link","Akvasto Prime Link","weapon|part","","akvasto-prime","","","",""
"/Lotus/Weapons/Tenno/Pistols/HarlequinGun/HarlequinPistols","akzani","Akzani","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/GyreRifle/GyreRifleWeapon","alternox","Alternox","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Melee/Polearms/Naginata/ShrineMaidenNaginataWeapon","amanata","Amanata","weapon","melee","","false","false","false","false"
"7116","amanata-blade","Amanata Blade","weapon|part","","amanata","","","",""
"7118","amanata-handle","Amanata Handle","weapon|part","","amanata","","","",""
"/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle","ambassador","Ambassador","weapon","primary","","false","false","false","false"
"5556","ambassador-barrel","Ambassador Barrel","weapon|part","","ambassador","","","",""
"5557","ambassador-receiver","Ambassador Receiver","weapon|part","","ambassador","","","",""
"5558","ambassador-stock","Ambassador Stock","weapon|part","","ambassador","","","",""
"/Lotus/Weapons/Tenno/Melee/Staff/GrnStaff","amphis","Amphis","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Corpus/LongGuns/ChainLightningGun/ChainLightningRifle","amprex","Amprex","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Corpus/Pistols/CrpHandRL/CorpusHandRocketLauncher","angstrum","Angstrum","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Melee/Scythe/ParisScythe/ParisScythe","anku","Anku","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Tenno/Melee/Gauntlet/Gauntlet","ankyros","Ankyros","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Tenno/Melee/Gauntlet/PrimeAnkyros/PrimeAnkyros","ankyros-prime","Ankyros Prime","weapon","melee","","true","false","false","false"
"3944","ankyros-prime-blade","Ankyros Prime Blade","weapon|part","","ankyros-prime","","","",""
"3945","ankyros-prime-gauntlet","Ankyros Prime Gauntlet","weapon|part","","ankyros-prime","","","",""
"/Lotus/Weapons/Corpus/LongGuns/CrpShotgun/CrpShotgun","arca-plasmor","Arca Plasmor","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Corpus/Pistols/SniperPistol/CrpScopeGun","arca-scisco","Arca Scisco","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Corpus/Melee/Hammer/CorpusHammerWeapon","arca-titron","Arca Titron","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Tenno/Melee/SwordsAndBoards/DaxDuviriMaceShieldWeapon","argo-vel","Argo & Vel","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Grineer/LongGuns/LaserAimRifle/LaserAimRifle","argonak","Argonak","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Infested/Melee/InfWarfan/InfWarfanWeapon","arum-spinosa","Arum Spinosa","weapon","melee","","false","false","false","false"
"5291","arum-spinosa-guard","Arum Spinosa Guard","weapon|part","","arum-spinosa","","","",""
"5292","arum-spinosa-rivet","Arum Spinosa Rivet","weapon|part","","arum-spinosa","","","",""
"/Lotus/Weapons/Tenno/LongGuns/TnGlassShotgun/TnGlassShotgunGun","astilla","Astilla","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/PrimeAstilla/AstillaPrimeWeapon","astilla-prime","Astilla Prime","weapon","primary","","true","false","false","false"
"5485","astilla-prime-barrel","Astilla Prime Barrel","weapon|part","","astilla-prime","","","",""
"5486","astilla-prime-receiver","Astilla Prime Receiver","weapon|part","","astilla-prime","","","",""
"5487","astilla-prime-stock","Astilla Prime Stock","weapon|part","","astilla-prime","","","",""
"/Lotus/Weapons/Tenno/Pistols/TnJetTurbine/TnJetTurbinePistolWeapon","athodai","Athodai","weapon","secondary","","false","false","false","false"
"5413","athodai-barrel","Athodai Barrel","weapon|part","","athodai","","","",""
"5414","athodai-receiver","Athodai Receiver","weapon|part","","athodai","","","",""
"/Lotus/Weapons/Grineer/Pistols/HeatGun/GrnHeatGun","atomos","Atomos","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Grineer/Melee/GrineerWhip/GrineerWhip","atterax","Atterax","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/TnoPrmryXbow/TnoPrmryXbowWeapon","attica","Attica","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Lasria/AK47/TC2024AK47Weapon","ax-52","Ax-52","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/SundialGun/SundialPistol","azima","Azima","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Melee/Swords/DaxDuviriTwoHandedKatana/DaxDuviriTwoHandedKatanaWeapon","azothane","Azothane","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Ostron/Melee/ModularMelee01/Tip/TipOne","balla","Balla","weapon","melee","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/AutomaticHandCrossbow/AutoCrossBow","ballistica","Ballistica","weapon","secondary","","false","false","false","false"
"/Lotus/Weapons/Tenno/Pistols/PrimeBallistica/PrimeBallistica","ballistica-prime","Ballistica Prime","weapon","secondary","","true","false","false","false"
"4082","ballistica-prime-lower-limb","Ballistica Prime Lower Limb","weapon|part","","ballistica-prime","","","",""
"4084","ballistica-prime-receiver","Ballistica Prime Receiver","weapon|part","","ballistica-prime","","","",""
"4085","ballistica-prime-string","Ballistica Prime String","weapon|part","","ballistica-prime","","","",""
"4083","ballistica-prime-upper-limb","Ballistica Prime Upper Limb","weapon|part","","ballistica-prime","","","",""
"/Lotus/Weapons/Sentients/SentRifleNewWar/SentRifleNewWarGun","basmu","Basmu","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Corpus/LongGuns/CrpSentExperimentRifle/CrpSentExperimentRifle","battacor","Battacor","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/TnSMG/TnSMGWeapon","baza","Baza","weapon","primary","","false","false","false","false"
"/Lotus/Weapons/Tenno/LongGuns/PrimeBaza/PrimeBazaGun","baza-prime","Baza Prime","weapon","primary","","true","false","false","false"
"4232","baza-prime-barrel","Baza Prime Barrel","weapon|part","","baza-prime","","","",""
