id,name
1,Nova
2,Nova Prime
3,<ARCHWING> Elytron
4,<ARCHWING> Odonata Prime
5,<ARCHWING> Odonata
6,<ARCHWING> Itzal
7,<ARCHWING> Amesha
8,Banshee
9,Banshee Prime
10,Octavia
11,Valkyr
12,Valkyr Prime
13,Atlas
14,Mesa
15,Chroma
16,Ember
17,Ember Prime
18,Excalibur
19,Excalibur Prime
20,Excalibur Umbra
21,Titania
22,Frost
23,Frost Prime
24,Gara
25,Mirage
26,Mirage Prime
27,Nidus
28,Nyx
29,Nyx Prime
30,Khora
31,Loki
32,Loki Prime
33,Mag
34,Mag Prime
35,Limbo Prime
36,Limbo
37,Wukong
38,Nekros
39,Nekros Prime
40,Nezha
41,Ash Prime
42,Ash
43,Oberon
44,Oberon Prime
45,Hydroid Prime
46,Hydroid
47,Harrow
48,Ivara
49,Rhino
50,Rhino Prime
51,Inaros
52,Saryn
53,Saryn Prime
54,Zephyr
55,Zephyr Prime
56,Vauban
57,Vauban Prime
58,Trinity
59,Trinity Prime
60,Volt
61,Volt Prime
62,Equinox
63,Agility Drift
64,Coaction Drift
65,Cunning Drift
66,Endurance Drift
67,Power Drift
68,Speed Drift
69,Stealth Drift
70,Antimatter Absorb
71,Antimatter Mine
72,Neutron Star
73,Escape Velocity
74,Afterburner
75,Energy Field
76,Cold Snap
77,Resonating Quake
78,Sonic Fracture
79,Savage Silence
80,Resonance
81,Partitioned Mallet
82,Swing Line
83,Eternal War
84,Hysterical Assault
85,Hysterical Fixation
86,Prolonged Paralysis
87,Tectonic Fracture
88,Ore Gaze
89,Path of Statues
90,Titanic Rumbler
91,Rumbled
92,Ballistic Bullseye
93,Mesa's Waltz
94,Staggering Shield
95,Muzzle Flash
96,Afterburn
97,Everlasting Ward
98,Guided Effigy
99,Vexing Retaliation
100,Fireball Frenzy
101,Healing Flame
102,Purifying Flames
103,Immolated Radiance
104,Exothermic
105,Radiant Finish
106,Signal Flare
107,Furious Javelin
108,Surging Dash
109,Purging Slash
110,Chromatic Blade
111,Razorwing Blitz
112,Beguiling Lantern
113,Icy Avalanche
114,Chilling Globe
115,Ice Wave Impedance
116,Freeze Force
117,Hall of Malevolence
118,Total Eclipse
119,Explosive Legerdemain
120,Prism Guard
121,Insatiable
122,Larva Burst
123,Chaos Sphere
124,Pacifying Bolts
125,Mind Freak
126,Assimilate
127,Singularity
128,Savior Decoy
129,Deceptive Bond
130,Irradiating Disarm
131,Hushed Invisibility
132,Safeguard Switch
133,Magnetized Discharge
134,Fracturing Crush
135,Greedy Pull
136,Sapping Reach
137,Counter Pulse
138,Shield Overload
139,Rift Haven
140,Cataclysmic Continuum
141,Rift Torrent
142,Celestial Stomp
143,Primal Rage
144,Shield of Shadows
145,Despoil
146,Soul Survivor
147,Discharge Strike
148,Creeping Terrify
149,Reaping Chakram
150,Safeguard
151,Ward Recovery
152,Pyroclastic Flow
153,Seeking Shuriken
154,Rising Storm
155,Smoke Shadow
156,Tear Gas
157,Teleport Rush
158,Hallowed Reckoning
159,Defiled Reckoning
160,Phoenix Renewal
161,Smite Infusion
162,Hallowed Eruption
163,Viral Tempest
164,Pilfering Swarm
165,Rousing Plunder
166,Tidal Impunity
167,Lasting Covenant
168,Warding Thurible
169,Concentrated Arrow
170,Piercing Navigator
171,Empowered Quiver
172,Power of Three
173,Infiltrate
174,Iron Shrapnel
175,Piercing Roar
176,Ironclad Charge
177,Reinforcing Stomp
178,Elemental Sandstorm
179,Negation Armor
180,Venom Dose
181,Regenerative Molt
182,Contagion Cloud
183,Target Fixation
184,Funnel Clouds
185,Jet Stream
186,Repelling Bastille
187,Photon Repeater
188,Tesla Bank
189,Vampire Leech
190,Abating Link
191,Pool of Life
192,Capacitance
193,Transistor Shield
194,Recharge Barrier
195,Shock Trooper
196,Shocking Speed
197,Kinetic Collision
198,Peaceful Provocation
199,Energy Transfer
200,Duality
201,Push & Pull
202,Calm & Frenzy
203,Cat's Eye
204,Mischief
205,Charm
206,Territorial Aggression
207,Pounce
208,Reflect
209,Sharpened Claws
210,Swipe
211,Fear Sense
212,Trample
213,Hunt
214,Stalk
215,Dig
216,Neutralize
217,Howl
218,Proboscis
219,Retrieve
220,Shelter
221,Protect
222,Scavenge
223,Unleashed
224,Shield Charger
225,Medi-Ray
226,Arc Coil
227,Fatal Attraction
229,Investigator
230,Coolant Leak
231,Crowd Dispersion
232,Ghost
233,Guardian
234,Calculated Shot
235,Ammo Case
236,Looter
237,Primed Regen
238,Negate
239,Regen
240,Reawaken
241,Revenge
242,Sacrifice
243,Sanctuary
244,Molecular Conversion
246,Electro Pulse
247,Targeting Receptor
248,Thumper
250,Vacuum
251,Vaporize
253,Detect Vulnerability
254,Peculiar Bloom
255,Peculiar Growth
256,Primed Morphic Transformer
257,Meteor Crash
258,Nebula Bore
259,Astral Slash
260,Searing Steel
261,Tempered Blade
262,Bleeding Edge
263,Cutting Edge
264,Furor
265,Extend
266,Astral Autopsy
267,Sudden Impact
268,Conductive Blade
269,Blazing Steel
270,Glacial Edge
271,Poisonous Sting
272,Comet Blast
273,Quasar Drill
274,Zodiac Shred
275,Magma Chamber
276,Shell Rush
277,Magazine Extension
278,Parallax Scope
279,Hollowed Bullets
280,Rubedo-Lined Barrel
281,Dual Rounds
282,Automatic Trigger
283,Modified Munitions
284,Electrified Barrel
285,Combustion Rounds
286,Polar Magazine
287,Venomous Clip
288,Kinetic Diversion
289,Efficient Transferral
290,System Reroute
291,Energy Amplifier
292,Morphic Transformer
293,Argon Plating
294,Enhanced Durability
295,Auxiliary Power
296,Energy Inversion
297,Superior Defenses
298,Hyperion Thrusters
299,Brief Respite
300,Growing Power
301,Empowered Blades
302,Stand United
303,Corrosive Projection
304,Shield Disruption
305,Infested Impedance
306,Enemy Radar
307,Energy Siphon
308,Physique
309,Rejuvenation
310,Holster Amp
311,Loot Detector
312,Steel Charge
313,Pistol Scavenger
314,Pistol Amp
315,Toxin Resistance
316,Rifle Scavenger
317,Rifle Amp
318,Shotgun Scavenger
319,Shotgun Amp
320,Sniper Scavenger
321,Dead Eye
322,Sprint Boost
323,EMP Aura
325,Focused Defense
326,True Punishment
327,Quickening
328,Enduring Affliction
329,Enduring Strike
330,Life Strike
331,Drifting Contact
332,Spoiled Strike
333,Corrupt Charge
334,Voltaic Strike
335,Volcanic Edge
336,Focus Energy
337,Vicious Frost
338,Virulent Scourge
339,Rending Strike
340,Static Discharge
341,Electromagnetic Shielding
342,Vulcan Blitz
343,Hunter's Bonesaw
344,Rift Strike
345,Blood Rush
346,Body Count
347,Weeping Wounds
348,Maiming Strike
349,Primed Fury
350,Primed Heavy Trauma
351,Primed Pressure Point
352,Primed Reach
353,Primed Fever Strike
354,Dispatch Overdrive
355,Sundering Strike
356,Guardian Derision
357,True Steel
358,Organ Shatter
359,Berserker Fury
360,Condition Overload
361,Shocking Touch
362,Collision Force
363,Auger Strike
364,Buzz Kill
365,Molten Impact
366,Fury
367,North Wind
368,Power Throw
369,Quick Return
370,Rebound
371,Whirlwind
372,Healing Return
373,Heavy Trauma
374,Shattering Impact
375,Reflex Coil
376,Relentless Combination
377,Pressure Point
378,Smite Corpus
379,Smite Orokin
380,Smite Grineer
381,Smite Infested
382,Finishing Touch
383,Killing Blow
384,Reach
385,Seismic Wave
386,Covert Lethality
387,Energy Channel
388,Lasting Sting
389,Jagged Edge
390,Melee Prowess
391,Fever Strike
395,Creeping Bullseye
396,Hollow Point
397,Magnum Force
398,Anemic Agility
399,Tainted Clip
400,Jolt
401,Scorch
402,Lethal Torrent
403,Frostbite
404,Ice Storm
405,Pistol Pestilence
406,Stunning Speed
407,Fulmination
408,Targeting Subsystem
409,Hydraulic Crosshairs
410,Sharpened Bullets
411,Pressurized Magazine
412,Embedded Catalyzer
413,Primed Target Cracker
414,Primed Slip Magazine
415,Primed Pistol Gambit
416,Primed Heated Charge
417,Primed Pistol Ammo Mutation
418,Concealed Explosives
419,Trick Mag
420,No Return
421,Ruinous Extension
422,Slip Magazine
423,Pistol Gambit
424,Target Cracker
425,Hornet Strike
426,Convulsion
427,Pummel
428,Bore
429,Maim
430,Heated Charge
431,Barrel Diffusion
432,Gunslinger
433,Deep Freeze
434,Concussion Rounds
435,Suppress
436,Pistol Ammo Mutation
437,Expel Corpus
438,Expel Orokin
439,Expel Grineer
440,Expel Infested
441,Hawk Eye
442,Perpetual Agony
443,Lethal Momentum
444,Seeker
445,Steady Hands
446,Quickdraw
447,Razor Shot
448,Sure Shot
449,Pathogen Rounds
450,Stand Ground
451,Impenetrable Offense
452,Mortal Conduct
453,Heartseeker
454,Counterweight
455,Serrated Edges
456,Sharpened Blade
457,Explosive Demise
458,Sword Alone
459,Martial Fury
460,Relentless Assault
461,Heavy Warhead
462,Meteor Munitions
463,Impaler Munitions
464,Razor Munitions
465,Draining Gloom
466,Spry Sights
467,Loose Magazine
468,Secondary Wind
469,Air Recon
470,Blind Shot
471,Reflex Draw
472,Full Capacity
473,Hydraulic Barrel
474,Shrapnel Rounds
475,Night Stalker
476,Strafing Slide
477,Eject Magazine
478,Recuperate
479,Calculated Victory
480,Static Alacrity
481,Skull Shots
482,Spring-Loaded Broadhead
483,Comet Rounds
484,Ripper Rounds
485,Serrated Rounds
486,Thundermiter
487,Deft Tempo
488,Soaring Strike
489,Agile Aim
490,Plan B
491,Loose Hatch
492,Emergent Aftermath
493,Gorgon Frenzy
494,Brain Storm
495,Lie In Wait
496,Overview
497,Lucky Shot
498,Feathered Arrows
499,Final Tap
500,Twitch
501,Maximum Capacity
502,Hydraulic Gauge
503,Apex Predator
504,Gun Glide
505,Grinloked
506,Triple Tap
507,Double Tap
508,Tactical Reload
509,Recover
510,Vanquished Prey
511,Ambush Optics
512,Directed Convergence
513,Sudden Justice
514,Focused Acceleration
515,Measured Burst
516,Precision Munition
517,Crash Shot
518,Shred Shot
519,Flak Shot
520,Snap Shot
521,Loose Chamber
522,Kill Switch
523,Broad Eye
524,Soft Hands
525,Loaded Capacity
526,Hydraulic Chamber
527,Bounty Hunter
528,Double-Barrel Drift
529,Lock and Load
530,Momentary Pause
531,Prize Kill
532,Scarlet Hurricane
533,Piercing Fury
534,Biting Piranha
535,Dividing Blades
536,Quaking Hand
537,Celestial Nightfall
538,Crashing Havoc
539,Noble Cadence
540,Fateful Truth
541,Rending Wind
542,Mafic Rain
543,Argent Scourge
544,Vicious Approach
545,Cunning Aspect
546,Shadow Harvest
